Amount,AuditTrial,ClearingSystem,Currency,CustomerSegment,Description,ExchangeRate,Fee,FromAccountID,MerchantName,PaymentDate,PaymentID,PaymentType,ToAccountID
69214.89,Ability upon anything account foot cover these idea bring some dark positive picture.,RTGS,GBP,Corporate,Sing figure property stock production reveal.,0.91,79.73,4784127931493,"Medina, Vasquez and Martinez",2024-05-22,1912897816,Online Transfer,6921866223422
169233.92,Political animal moment participant million movie success.,SWIFT,EUR,Retail,Avoid determine physical arrive do.,0.86,64.94,7013212420561,Cobb-Williams,2024-04-28,1864560539,Cash,6786961822758
188903.99,Most difference ten must attack information skill radio executive moment as area door.,SWIFT,EUR,Corporate,Story past room fly push finally.,1.46,31.27,1714814168437,"Scott, Williams and Butler",2024-02-18,2301166738,Credit,6411866071803
41418.69,Easy themselves return student say according.,ACH,EUR,Retail,Special see first gas argue.,1.3,41.39,1210955999087,Martin-Williams,2024-04-09,6072093671,Cash,3398815224515
64385.28,Front close technology style foreign present tell glass identify sense some family lead.,ACH,USD,Corporate,Produce pretty price during.,1.18,90.54,3231699820102,"Fernandez, Casey and Baker",2024-05-26,6735421802,Cash,3508238245273
192517.25,Trouble structure do security hour thousand good southern.,RTGS,EUR,Corporate,Foot oil national eight certain much skin.,0.6,82.53,7442504436269,Phillips-Jones,2024-02-03,6067007762,Cash,8481905153219
175170.14,Popular success southern drop movie black level rule support look people pattern argue.,ACH,GBP,Retail,Order run special national lead.,1.04,92.12,3237476365741,"Duran, Ellis and Ibarra",2024-02-24,3321962592,Online Transfer,1662357959610
6163.12,Take wife positive difficult day president strong grow allow especially establish national.,SWIFT,GBP,Corporate,About maybe remember difference week question.,1.04,50.25,5324483925444,Chen-Dunn,2024-03-22,4522773345,Credit,7751110306382
127812.2,Various success believe matter have own responsibility feeling last role market of herself officer.,ACH,USD,Retail,Authority western analysis particular spring.,1.33,85.44,9747989819979,"Allen, Thompson and Bishop",2024-02-15,4446489140,Online Transfer,8716874896950
3188.43,Left article career decision choose night different way allow wish.,RTGS,GBP,Corporate,Scene travel cultural finish movie assume.,1.21,18.88,1829126373279,Alexander Ltd,2024-05-06,4190563635,Online Transfer,5755318144053
93023.7,Herself standard long less culture part forward those bed prepare good.,SWIFT,EUR,Retail,Remember general nice public job land.,0.74,40.88,2946391366277,Leon and Sons,2024-07-23,4053059545,Online Transfer,9551587717297
90350.5,Ok personal water thus yourself we line area thought student building single activity.,RTGS,USD,Corporate,Down lot simple turn physical table.,0.79,48.51,3988198692995,"Hill, Williams and Villarreal",2024-01-12,6155602858,Cash,8264038689337
178368.14,Concern reality ball box move report loss.,RTGS,GBP,Corporate,Win contain see responsibility.,0.64,30.77,3427702299629,"Burke, Jones and Brown",2024-06-03,5036572589,Online Transfer,6252845569020
95545.19,Over while career enough open week foot computer my capital.,ACH,EUR,Corporate,Forward hundred structure between PM occur.,0.77,79.38,1046106236381,Paul Inc,2024-01-25,5728586394,Credit,8103853087648
113061.01,Yeah find support together reflect law relate life.,ACH,EUR,Retail,Move alone history yeah family.,0.96,29.88,7912423591475,Randall and Sons,2024-03-18,4422401063,Credit,1346831555147
59224.45,Early series daughter born senior approach friend watch.,ACH,USD,Retail,Main free education result.,1.16,24.24,3708529300279,"Thompson, Johnson and Poole",2024-07-11,2995972329,Online Transfer,5790810325458
75303.64,Buy position most Mr this yard both name white physical crime will.,ACH,EUR,Retail,Skin career grow.,1.2,40.68,4010814091806,Mclaughlin Inc,2024-03-26,2742971044,Online Transfer,8411818415783
65196.03,Space staff issue sister tax lawyer car parent during.,SWIFT,EUR,Corporate,Along whatever use key.,0.59,26.93,8404408377638,Maldonado-Waters,2024-06-07,4062261308,Cash,3727106260320
97323.52,Thus painting cause heavy remember also Mrs magazine by miss maybe.,RTGS,GBP,Retail,Will group rise anything hand although.,0.54,39.75,1585121138223,Williams PLC,2024-06-12,6347990692,Cash,2802355624670
197751.44,Rise off health positive physical adult.,RTGS,EUR,Retail,Defense relate imagine popular.,1.16,53.3,2571774032447,"Watts, Bryan and Lopez",2024-02-10,3359474495,Online Transfer,9942201996256
68.53,Attorney sell leader last break economic article environment down water.,ACH,GBP,Corporate,Myself task hospital possible.,1.02,44.8,4257029108651,Bowen Group,2024-02-02,5181108080,Credit,8258733048527
131109.42,Father receive stage million be firm collection window.,SWIFT,USD,Retail,Old force example determine.,1.03,60.12,9806243372843,Thomas and Sons,2024-07-26,7492391341,Cash,7408995096540
59825.16,Mrs beat type another family foreign learn whatever beyond simple.,ACH,GBP,Corporate,Politics financial how Republican show.,1.47,32.91,3812390704301,"Duke, Hall and Middleton",2024-02-16,6728476365,Cash,1495100954674
23312.31,Sit instead shake audience hotel science reveal view.,SWIFT,USD,Retail,Question serve tree black child.,1.09,81.05,1706518891619,"Taylor, Wheeler and Wood",2024-04-29,8665431496,Credit,1404447315380
173227.78,Four forget thank mission offer usually concern good word necessary these shoulder brother.,SWIFT,USD,Corporate,Pm bar ten.,0.76,94.85,2717592633124,Garcia-Willis,2024-06-09,3560069308,Cash,9221263724100
18653.23,Sell conference appear than agent special commercial my field stop management idea.,ACH,GBP,Retail,Close side run recent simply policy.,0.95,33.68,2548471341652,"Vega, Howard and May",2024-02-29,3102480632,Credit,7881978499822
21519.54,Article receive plan arm someone audience discussion however.,SWIFT,EUR,Corporate,Administration key seven nice former.,0.71,83.05,7261690604795,Gallegos and Sons,2024-07-09,2362770727,Cash,7021407832772
164320.64,Bill respond establish remember happen rich nice probably same.,SWIFT,GBP,Retail,True environmental spend character let.,1.24,64.71,1043449321765,Hall Inc,2024-07-09,9280332887,Online Transfer,9484209011381
123219.2,Decision majority believe sometimes draw data option.,RTGS,GBP,Retail,One now memory many likely spring.,0.79,14.2,4717055593914,Ellis Group,2024-06-16,1495422724,Cash,7733077726443
88482.81,All matter reason let analysis avoid five onto.,RTGS,EUR,Retail,Talk pass picture manage.,0.88,52.27,5525549273098,"Smith, Brown and Chapman",2024-07-08,4026940883,Credit,5176911108595
110035.42,Own opportunity treatment not party region.,ACH,EUR,Corporate,Hope bed tell no short future.,1.36,1.6,1214181966654,Carroll Group,2024-04-30,6187424139,Online Transfer,7497415585416
172321.19,War speech each present Mr game across exactly dream themselves magazine.,ACH,USD,Corporate,Fire ahead my traditional wife.,0.78,20.2,7867581248268,"Miller, Hoover and French",2024-05-08,2992647688,Credit,6493082743054
6950.06,Camera indeed off health instead allow wrong sense entire data.,SWIFT,GBP,Retail,Social your care campaign.,0.83,45.41,1190919516623,"Woodward, Perez and Miller",2024-02-21,3221780430,Credit,1745093597667
179976.43,Kid unit city church challenge box concern doctor pull college care management total.,RTGS,GBP,Corporate,Least trade nation.,0.97,37.41,7916896539555,Walker-Davis,2024-05-12,3280028633,Cash,8999383129054
171125.05,Charge police especially recognize piece option mouth field.,RTGS,EUR,Retail,Respond of dog wear focus property.,0.77,16.06,4218579390522,"Wade, Allen and Ryan",2024-06-25,2633635964,Credit,8937747075340
18553.31,Tree simply country network soldier modern turn manage.,ACH,EUR,Corporate,Themselves response employee treatment.,0.7,20.57,5736363124249,Warren-Harvey,2024-07-03,9105503796,Credit,6409479041182
180979.06,Between quite state election enter do the think order door maintain.,SWIFT,USD,Corporate,Any newspaper theory increase dark value.,0.63,75.59,1363052390906,"Nelson, Love and Hill",2024-06-15,3462431285,Credit,9549089386450
123646.69,Support buy relate goal type it computer eight minute.,SWIFT,GBP,Retail,Question police some career.,1.29,94.22,8074495701661,Daniel Group,2024-06-22,5438194729,Credit,9345858455237
68273.19,Trouble should single bag draw feeling everyone machine.,SWIFT,EUR,Retail,Hair inside former just.,0.92,77.92,7428838112093,Reyes and Sons,2024-03-12,6337163458,Credit,7805522769901
66848.06,Possible general heavy on light forward first meeting.,ACH,EUR,Retail,Build wonder indicate wonder.,0.61,66.84,6687661762682,Stewart-Bell,2024-05-05,4694526658,Credit,6192708316442
199243.85,Media serious western current several quality must eat.,ACH,GBP,Retail,Care sister teach building.,0.98,45.17,2219450279712,Jones Ltd,2024-04-03,3260943745,Cash,6912011823412
47200.7,Attorney bit move condition account real specific commercial end doctor why.,ACH,USD,Corporate,Court city rather.,0.55,25.67,1190569787626,Castillo-Hall,2024-01-30,4133780520,Online Transfer,2377159750902
62625.92,Possible cost song doctor new minute use want worry state throughout more.,SWIFT,GBP,Retail,Final opportunity reach.,0.69,67.51,1508528229252,Roberts and Sons,2024-04-02,2611972283,Cash,2883800385835
41133.38,Age at boy travel lot see.,SWIFT,GBP,Corporate,Drop realize arm quickly street consider.,1.08,66.99,2532111521687,Ramos PLC,2024-06-28,4470981564,Online Transfer,8647620531646
41796.45,Far story particular be name south technology degree music personal successful need place.,ACH,GBP,Corporate,Usually against military current leave team.,1.43,30.24,5644179431498,"Dunlap, Hammond and Crawford",2024-04-21,1512930065,Online Transfer,9482156340472
157090.48,Past computer kid wish finish discuss another out say computer.,ACH,USD,Retail,Old against professor prevent better.,1.48,61.85,3068811628249,Mitchell-Vang,2024-01-09,9880601815,Cash,2963153264934
75794.91,Within toward treat information reflect rich teach rather billion beautiful radio among citizen.,ACH,USD,Corporate,Many federal at color while late.,1.04,40.17,4708958974399,Martin-Crawford,2024-01-04,3466831258,Cash,2432872884772
142403.26,Indeed still although situation property we behavior professor feel sign.,ACH,USD,Corporate,Wrong better boy point.,1.46,9.7,3287247601983,Hunt LLC,2024-05-30,3462974358,Credit,1974766593017
157803.27,Rather play pressure town inside focus statement why all.,ACH,USD,Retail,Whether too wait administration.,1.06,1.15,1406083353689,Mendoza-Garcia,2024-05-27,9197695239,Cash,5798908442562
122221.18,Easy drive less audience name memory president time job put pass pattern camera.,SWIFT,USD,Corporate,Have wonder stock Mr shoulder stop.,1.19,57.18,5682359604740,"Moore, Torres and Crosby",2024-01-16,6933940825,Cash,5820458513295
74035.47,Write hard necessary bank commercial evening cover remember commercial save claim effect detail.,RTGS,EUR,Corporate,Pattern whatever remember those.,1.12,49.91,1043516463420,"Waters, Smith and Hart",2024-05-29,8089072308,Credit,1212814471303
80148.87,From bit allow either difference since much.,ACH,EUR,Retail,Might check sea site.,1.01,88.64,1970834721688,Ponce-Davis,2024-03-30,3634294864,Credit,1691392779909
163411.38,Out seem technology section hair very able.,ACH,EUR,Retail,Notice wife responsibility experience.,0.63,45.83,3185887921612,Anderson-Clark,2024-02-20,5732881643,Cash,8222700483474
69720.67,Business mouth thousand very church goal simple truth history state I political something.,RTGS,USD,Retail,Her go term hair.,1.26,32.38,2614038290101,Wiggins Inc,2024-01-30,9606908884,Cash,4155306046970
1426.22,Have school power wear building method act day discuss soldier pick.,ACH,EUR,Retail,Family goal both help expect.,1.1,6.71,2360641271747,Henderson-Ramirez,2024-01-16,6132470344,Online Transfer,6117838658283
5431.35,Republican hundred however assume stay month.,RTGS,EUR,Corporate,Tell former send child term.,0.65,20.6,7386874898205,Davis-Carlson,2024-07-10,4868701883,Credit,3990143915542
183534.87,Firm response note east ball run officer wall during I.,SWIFT,GBP,Retail,Wind site close single health day.,1.01,79.11,3088301650138,"Myers, Roberts and Shea",2024-02-17,5815443623,Online Transfer,6089978810834
101014.45,Board head such south seven necessary every game traditional family job low.,SWIFT,USD,Corporate,Less into year main usually form seek.,0.92,22.89,5720212059246,Maldonado Inc,2024-01-21,8291536432,Online Transfer,1313769646176
61883.05,Response up American inside investment at energy.,RTGS,GBP,Retail,Receive girl course or at financial.,0.98,49.77,4829966956785,Cruz-Martinez,2024-04-19,8075982104,Cash,6840877410482
127940.34,Or example hold herself which relate report debate cause finally.,ACH,EUR,Retail,Some human late citizen.,0.74,8.57,6566500429142,Chen Group,2024-05-04,7316127221,Cash,5724178206513
133663.49,Determine thank yard result another finish.,RTGS,EUR,Retail,Husband movie power.,0.87,38.26,5325713495229,Sanders-Campbell,2024-01-28,3503333379,Credit,3177832835952
3299.35,Add TV political election anything rich defense leg event when population.,SWIFT,EUR,Corporate,Raise middle accept.,0.56,28.65,3566980750953,"Smith, Wood and Long",2024-05-12,7878615092,Cash,4800250445655
27822.77,Marriage technology side economy speak record long personal contain although goal time today.,ACH,USD,Corporate,Poor machine what voice.,1.28,13.66,8837851507013,"Phelps, Frazier and Beck",2024-06-06,1077035948,Cash,1274968234952
3425.34,Suffer social inside conference service involve instead time out season religious article series.,ACH,GBP,Retail,Available use forget national herself.,1.29,46.87,2483178972710,"Jackson, Wade and Diaz",2024-04-16,2481829823,Cash,2169159740073
188613.94,Method rich single effort oil arm worker offer sound political yard myself mention.,SWIFT,USD,Retail,Ever low perhaps born.,1.01,81.85,9301872190410,"Dennis, Vincent and Quinn",2024-01-06,1065261265,Online Transfer,8776804165443
129532.1,Power soldier sit total huge themselves away.,ACH,EUR,Corporate,Well someone clearly.,0.98,96.74,3254627974513,Brooks-Montes,2024-02-13,8644705529,Credit,6016139738932
60314.41,Identify per none center week leader their however weight give gun physical.,RTGS,GBP,Retail,House knowledge example bed blood land.,0.96,79.69,1386762757503,Olson Ltd,2024-07-02,4781755088,Online Transfer,5895672420523
156689.47,Board scene across east president process just together scientist receive it several throughout.,ACH,EUR,Retail,Main moment usually nor ten.,1.35,27.33,9698465781964,"Scott, Higgins and Rogers",2024-05-13,9884570062,Online Transfer,6537659302198
109920.42,Direction rise seat town notice Mrs message take fight somebody.,RTGS,USD,Retail,Else reveal cover.,1.04,48.55,6328871127506,"Welch, Wiley and Collins",2024-01-30,4791922957,Cash,2003221136430
193944.38,Nice position forward series important wait visit year administration.,RTGS,GBP,Retail,Race even decide.,1.13,62.19,7218237276140,"Lee, Cardenas and Garcia",2024-07-16,9506276341,Online Transfer,1445480723421
135636.08,Fly myself worker whom when second far accept some provide remember gun.,ACH,EUR,Corporate,Always cause think throw city.,0.75,71.98,6856492020303,Guzman-Dickerson,2024-05-31,7533098331,Credit,8305735661047
101438.16,Five your understand up study decision four coach region.,ACH,USD,Corporate,Industry speak deal.,0.95,93.73,5970965992714,"Jackson, Cook and Russell",2024-05-01,5600888568,Credit,4760663628270
186048.05,Method since paper property catch sell.,SWIFT,USD,Retail,Particularly majority drive against performance.,1.11,96.7,1442090885747,"Smith, Ward and Love",2024-07-23,6650165327,Cash,3845705237124
35868.83,List security story person final quickly ready style believe capital.,ACH,EUR,Retail,Both source left sense management.,0.71,88.19,6803293988450,Murphy Inc,2024-07-23,3607129589,Credit,3981279174737
48728.1,Game than wonder month answer window discuss nor off capital country attention.,SWIFT,USD,Corporate,Fall vote wrong story part final.,1.27,97.03,5416662129347,Thomas-Vargas,2024-07-21,1074187932,Online Transfer,1444754361695
22352.13,People decade break benefit economic country.,RTGS,GBP,Retail,Wide win her bit star although.,1.04,82.11,6033676036907,Martinez LLC,2024-05-13,3554909298,Online Transfer,7069440948758
41599.67,American account join drive music for near week through again sort.,ACH,USD,Corporate,Someone state remain treat.,1.09,46.14,9151503979443,Brown-Curry,2024-01-24,8729369263,Online Transfer,8963081749041
150409.39,Option these next camera instead week rise seat western history push can.,SWIFT,EUR,Retail,Practice government artist school statement serve.,1.09,18.2,6063293402036,Johnson-Walter,2024-03-23,5481930800,Cash,1046566291309
192008.49,Stand chair meet single community significant something approach.,ACH,USD,Corporate,View whether entire.,1.28,74.44,1116937548509,Spence and Sons,2024-02-14,7302436321,Credit,4587860972920
121001.41,Society wrong you best subject baby six paper interesting friend.,SWIFT,GBP,Corporate,Office describe reason.,1.28,2.81,9593437733103,Deleon-Campbell,2024-07-01,1241378589,Cash,7641244593606
164845.93,Who technology create street hold other politics specific tax contain approach.,ACH,USD,Corporate,Music special party natural sport indicate.,1.35,9.59,7902092673918,Price PLC,2024-04-14,8044884798,Cash,6057959641085
87581.08,Wrong enjoy travel direction focus little tax song everybody scene great.,SWIFT,USD,Retail,Service fact little politics institution process.,1.06,1.83,8563806949077,Williams PLC,2024-01-06,4681160719,Online Transfer,6191825474566
123799.33,Of thought teach ago public with.,RTGS,USD,Corporate,Participant herself especially same.,1.26,88.53,5622665929839,Bell-Graves,2024-02-24,7975346669,Credit,1844033180696
104833.65,Question matter most sometimes approach either newspaper policy medical any sign against.,ACH,USD,Corporate,Level cultural speak future wish treat.,1.14,63.34,8920088584803,Bailey-Brown,2024-07-17,9829895586,Credit,2004255628515
5849.65,Customer later movement mother candidate address building Democrat ground recent customer theory.,ACH,EUR,Retail,Eye have blood.,1.32,38.77,9538145917885,Rodriguez Group,2024-03-27,6941985880,Cash,6738774798057
25928.64,Charge a your feeling church study new run establish campaign will security.,SWIFT,GBP,Corporate,A system build rate.,0.66,73.19,4917747476871,"Silva, Torres and Martin",2024-07-23,3407241513,Online Transfer,6871525016983
62783.19,Society food ahead news give benefit standard establish sport senior late television discover.,ACH,EUR,Retail,Test provide everybody close.,0.84,88.29,4849628792647,"Knight, Hayden and Jackson",2024-07-11,3238919411,Credit,5032601039852
83465.84,Rather benefit economy deal different east exactly control this side garden section.,SWIFT,EUR,Corporate,Pull allow statement coach world.,1.29,14.36,1471368037315,Espinoza-Durham,2024-04-10,6642603480,Cash,9810908046691
46085.14,When last movie whole remain land father chance television deep to program.,SWIFT,GBP,Retail,Analysis make among when thousand.,0.55,62.12,9897046154616,Wood-Moore,2024-04-05,3577730065,Cash,3305525812551
76458.69,Either quite site within reduce response skill almost bring reality of support season.,RTGS,USD,Retail,Whatever today world idea same debate.,0.77,46.92,5815685477078,Guzman LLC,2024-05-02,4605828066,Cash,4578624330389
132298.47,Concern type sit including see my but there hair morning product act financial.,RTGS,USD,Corporate,Leave lead ever organization.,1.22,8.06,6544742177118,"Campbell, Abbott and Buchanan",2024-06-14,4136783899,Online Transfer,7911491478265
9541.34,Charge bed candidate win expert floor perform best case.,ACH,USD,Retail,Matter visit determine know.,1.3,24.88,5986818555192,"Webb, Valdez and Sims",2024-06-28,8213333520,Credit,8599360789901
144608.08,Grow assume police show letter democratic reduce past tax.,RTGS,EUR,Corporate,End if drug those choose lose.,0.6,87.18,6967160424664,Cook and Sons,2024-06-29,5987636031,Cash,4532128706134
131130.07,Read me hit seek benefit people tend event listen everything office soldier ten.,ACH,USD,Retail,Available with just human.,0.91,28.87,6313887489577,Mendez Group,2024-07-12,7955793396,Cash,5716282374801
45136.97,Manager operation audience not must official coach staff may upon.,SWIFT,GBP,Retail,Chair society back doctor summer.,1.23,35.01,6837635132213,Zhang-Carter,2024-07-16,1657688233,Online Transfer,6639894961783
82943.17,Phone law end usually medical rich drop house seem effect.,SWIFT,USD,Retail,To though address necessary.,0.52,85.74,4638073040969,Jordan-Huffman,2024-03-06,1140980973,Credit,6018768296535
42045.46,Chance everybody property deal else everything view study budget society.,RTGS,USD,Corporate,Until at shoulder.,1.28,59.99,2114857404865,Ingram-Gaines,2024-05-20,8973056945,Credit,8979620821407
106413.53,Consumer admit media shoulder key red per close speak.,ACH,EUR,Corporate,As carry think camera foreign as.,1.41,34.26,1561721389108,Rose-Rowe,2024-06-15,8214025720,Cash,5934258671274
152199.84,Final about wall system happen family.,SWIFT,GBP,Corporate,Note without customer room wrong.,0.89,66.61,5391048166403,Young LLC,2024-03-10,5229558184,Online Transfer,9897582467311
167657.5,Best score sit firm debate rise sometimes little.,RTGS,EUR,Retail,Ask discuss middle.,1.15,99.52,9359878644207,"Morgan, Davis and Martinez",2024-03-09,7749665463,Online Transfer,6225975392253
176112.67,Pay moment middle thousand reflect manager nature century study.,RTGS,GBP,Corporate,Of and fund pick.,1.08,26.37,3151466001678,Mills and Sons,2024-04-29,7670590771,Credit,4888493015618
37088.89,Service central piece itself under still listen.,ACH,USD,Corporate,Serious vote fish seven.,1.08,96.0,1630610949529,"Vasquez, Mosley and Martinez",2024-02-23,1922466943,Cash,8285776786346
5254.85,Brother perform prevent special compare employee.,RTGS,GBP,Corporate,Yet room news measure apply.,1.49,98.48,3244925219272,Hernandez PLC,2024-06-28,5633196342,Cash,9833175974562
34857.19,Parent camera statement environmental painting month feeling you surface.,SWIFT,USD,Corporate,Interest change state sort.,1.0,46.66,4803112324856,"Combs, Hartman and Johnson",2024-03-17,8147142769,Cash,9019542748120
149170.01,Election dream lead thought truth car that part.,ACH,USD,Corporate,Present themselves television.,0.83,92.92,6724475484573,"Davidson, Nguyen and Adams",2024-05-14,1073630016,Online Transfer,7576498710885
165389.8,Five those painting inside try south plan executive of poor every or.,SWIFT,GBP,Retail,Science decade else.,1.35,18.14,1099307134966,"Carter, Rodriguez and Fischer",2024-06-01,3748174249,Cash,8239898098643
108061.16,Society save move claim least lead blood yard here someone idea.,SWIFT,USD,Corporate,Job over maybe who.,0.65,75.69,1052494074896,"Ross, Perez and Miller",2024-01-25,2332935717,Credit,9692435517095
128737.54,Night indicate data best live certain.,RTGS,USD,Corporate,Official agency ball future who wish.,1.39,93.76,4459878732443,Fuller Ltd,2024-06-05,1062318048,Cash,9820825251568
91068.05,Care single ready approach here century wife sign trouble.,RTGS,GBP,Corporate,Remember door popular.,1.12,49.01,5724295165220,Campbell-Green,2024-07-21,2356754529,Cash,5611396794155
121083.62,Present series only place green possible week tend along husband daughter among senior.,SWIFT,GBP,Retail,People young special about understand.,0.67,65.18,9664712702603,Ortiz-Scott,2024-07-26,6417526983,Cash,1889063895870
99031.86,Guess magazine rest break while raise guy rest former capital.,RTGS,GBP,Retail,Pull nation time ground.,0.71,43.75,1688068991122,Smith-Li,2024-04-20,7505371600,Online Transfer,8089927121451
194046.77,Course cell yet by cost subject.,RTGS,USD,Retail,Board race speech.,1.21,60.59,1346901024790,"Kelley, Edwards and Adams",2024-02-01,5437706831,Credit,5028189637505
91472.71,Brother model early suffer tree point only best avoid difficult pay exactly long state.,RTGS,EUR,Retail,Approach technology list option.,1.36,44.47,1644937762397,Brooks-Leach,2024-05-24,6123600154,Cash,7862232806482
170538.1,Look conference forward all pull college decade.,ACH,USD,Retail,Cultural hear per.,1.37,31.45,2204595587438,"Harris, Carroll and Golden",2024-07-05,6345570221,Credit,3848008899144
123128.1,Assume health someone throw practice will follow material.,ACH,GBP,Retail,Explain so resource.,1.4,29.82,5277835313075,"Ortiz, Sutton and Steele",2024-02-20,1649691847,Credit,4045333061867
188896.18,Program fly never color reality production answer wonder learn challenge.,RTGS,EUR,Corporate,Movie concern safe fish.,1.35,50.59,6939558777487,Mendoza-Ellis,2024-07-12,5424748274,Cash,7224958086624
193883.36,Brother during around right item either everything present either.,RTGS,GBP,Corporate,Follow raise take focus think account.,1.33,1.98,7584762334545,"Evans, Jimenez and Orr",2024-06-20,5009142894,Credit,5554689078105
75448.73,Consider office thought be explain so involve.,RTGS,GBP,Retail,Back official always.,1.28,28.16,8744640404344,"James, Kerr and Zimmerman",2024-04-16,5241008102,Online Transfer,3009560179577
34128.76,New help family sometimes senior father despite significant appear.,SWIFT,USD,Retail,Read draw believe book.,0.68,11.21,4993684943616,Dixon-Burns,2024-01-07,4263740879,Credit,1059397720400
10535.47,Difference sport top charge season former may exist owner event prove building.,ACH,USD,Corporate,City alone each.,1.46,18.68,4240686146672,Garza Inc,2024-01-31,2546519379,Cash,8714283205572
40684.43,Perform avoid physical century money decision medical service.,RTGS,GBP,Corporate,Return give spring nothing watch.,0.99,91.47,7427171055757,"Meyer, Walker and Potter",2024-06-06,3620552133,Credit,6797288871341
95505.51,Interview half fine anyone blue conference leave animal partner few song.,ACH,EUR,Corporate,Both likely without institution what.,0.63,59.21,5883943721338,"Dodson, Rivera and Craig",2024-05-24,2782924673,Credit,1014571599039
82606.37,Position man when section affect miss week less food become go.,ACH,GBP,Corporate,Color thing piece former.,0.6,95.61,5276000806136,Howard-Wade,2024-04-01,8596191606,Online Transfer,2690266109553
117703.71,Everybody southern young attorney market really maybe house bill.,SWIFT,USD,Retail,Keep man admit recognize.,1.05,59.3,5218864630886,"Mills, Ward and Jones",2024-01-22,4548621943,Cash,3531458832194
74475.31,Population authority get tough heavy relate trip.,SWIFT,EUR,Corporate,Travel nation somebody.,1.37,49.93,1171241943626,Hernandez and Sons,2024-02-27,2530993073,Online Transfer,2366180179486
184102.3,Easy three consider politics notice state heart close foot cell.,ACH,EUR,Corporate,Recent miss natural state training.,0.95,44.85,8660850800652,Schwartz Inc,2024-03-14,4473467297,Online Transfer,9108181109543
193441.82,Enter together draw partner finish nature much huge step.,SWIFT,GBP,Corporate,Project record recently.,0.54,6.0,9148627959623,Watson-Clark,2024-06-07,8217162865,Credit,7886492560899
162322.31,Far look majority score development value live success.,RTGS,USD,Retail,End kid give.,1.18,39.43,9095650316947,Johnson-Johnson,2024-04-04,8649370386,Cash,5036059476869
140351.69,Subject about two trade read experience.,RTGS,GBP,Retail,Page great in situation.,0.51,96.85,5979269761031,Zavala-Scott,2024-05-09,7173523447,Cash,3635544099568
87935.17,Watch popular so force television state available realize whom sound officer difficult.,ACH,USD,Retail,Political require attack employee.,1.25,60.09,3779579735285,Johnson PLC,2024-05-02,7102616637,Cash,9803035783524
180101.72,Book will deal tree too item course best because.,ACH,GBP,Corporate,Hold kind never.,1.31,87.16,5060427830939,Wilson PLC,2024-01-03,8159030683,Online Transfer,4382690745246
62218.35,Deep another listen on miss Democrat available probably bring fact check physical.,SWIFT,EUR,Retail,Until across and.,1.12,57.83,3656340567021,Sanchez Group,2024-03-20,6607333652,Cash,4308979024700
41268.75,Sell left do high someone role probably group ball benefit give summer law ability.,RTGS,GBP,Corporate,Important light series behind white.,1.05,21.12,9757525433831,Callahan-Mcgee,2024-06-28,7199310085,Cash,4718703495744
43493.1,Close treatment age paper mind organization here style first especially much trip.,ACH,EUR,Corporate,Can really themselves reduce field score.,0.59,47.39,1735513909800,Jacobson-Hamilton,2024-03-31,1178863952,Credit,3842681243180
180615.2,System product research woman by local heart total produce now.,ACH,GBP,Corporate,Subject the human.,0.92,81.8,6596851992492,"Harris, Anderson and Conway",2024-05-16,5515665036,Online Transfer,5664025270390
2321.5,The wind team poor ahead leave institution public person study wind.,SWIFT,EUR,Corporate,Law difference easy national home risk.,0.78,86.19,2045158918202,Marks PLC,2024-02-28,4175326771,Credit,1762799800511
134152.88,Draw gas gun some authority local stuff he let nation where film mention.,SWIFT,USD,Retail,Finally me time wait democratic admit.,0.99,29.93,8350713102100,"Shea, Green and Chapman",2024-05-10,1677665976,Cash,6247481792919
59251.6,Maybe lay house believe after fight energy Republican amount focus citizen level conference.,RTGS,EUR,Corporate,Box their gas walk smile hear.,1.38,48.17,3724299490288,Martinez LLC,2024-06-25,3392545860,Cash,6925594500655
29857.23,Film evening right give human sort common TV charge language.,ACH,GBP,Retail,Think section subject several moment.,0.52,6.55,2702676007117,Briggs Group,2024-03-25,3742752374,Cash,6724740391775
127480.38,Show when enough coach range society kid.,RTGS,GBP,Corporate,Ready risk degree least center.,1.19,59.97,2243075937573,Fowler-May,2024-05-07,5706592129,Credit,4519507084808
10240.02,Card guy industry knowledge lead mention.,SWIFT,GBP,Corporate,Who individual Mr improve.,1.32,92.23,5992871865514,"Johnston, Potter and Cummings",2024-06-03,2837240289,Online Transfer,3274241463925
133659.63,Camera everybody which could rich speak physical born sing often.,ACH,USD,Retail,Present early treatment know mention local.,1.12,51.85,5675115714215,Peters-Johnson,2024-05-30,3108950462,Credit,6544849104031
39714.73,Fish simple pretty so among expert determine politics south safe above true statement.,ACH,GBP,Retail,Energy or economic.,1.22,96.9,3466083282058,Jones PLC,2024-06-10,3196586734,Online Transfer,6891661282192
102072.64,Economic say later country despite teacher whole lose our church.,SWIFT,GBP,Corporate,Successful tell also house indicate.,1.13,11.98,8216213475358,Reed-Carpenter,2024-06-20,2326532909,Credit,6976569732037
3525.41,Save carry participant choose high traditional attack finish bag color shoulder fine.,SWIFT,EUR,Retail,Knowledge worry front us.,1.08,12.38,2203353733845,Adams-Fisher,2024-01-07,3466033559,Cash,6559404297645
